"","treatment","block.id","block.size"
"1",0,"low30.001",4
"2",1,"low30.001",4
"3",0,"low30.001",4
"4",1,"low30.001",4
"5",0,"low30.002",4
"6",1,"low30.002",4
"7",0,"low30.002",4
"8",1,"low30.002",4
"9",1,"low30.003",4
"10",0,"low30.003",4
"11",0,"low30.003",4
"12",1,"low30.003",4
"13",0,"low30.004",4
"14",0,"low30.004",4
"15",1,"low30.004",4
"16",1,"low30.004",4
"17",0,"low30.005",4
"18",1,"low30.005",4
"19",1,"low30.005",4
"20",0,"low30.005",4
"21",1,"low30.006",4
"22",1,"low30.006",4
"23",0,"low30.006",4
"24",0,"low30.006",4
"25",0,"low30.007",4
"26",1,"low30.007",4
"27",0,"low30.007",4
"28",1,"low30.007",4
"29",0,"low30.008",4
"30",1,"low30.008",4
"31",0,"low30.008",4
"32",1,"low30.008",4
"33",0,"low30.009",4
"34",1,"low30.009",4
"35",1,"low30.009",4
"36",0,"low30.009",4
"37",1,"low30.010",4
"38",0,"low30.010",4
"39",1,"low30.010",4
"40",0,"low30.010",4
"41",1,"low30.011",4
"42",1,"low30.011",4
"43",0,"low30.011",4
"44",0,"low30.011",4
"45",0,"low30.012",4
"46",1,"low30.012",4
"47",0,"low30.012",4
"48",1,"low30.012",4
"49",1,"low30.013",4
"50",0,"low30.013",4
"51",0,"low30.013",4
"52",1,"low30.013",4
"53",0,"low30.014",4
"54",1,"low30.014",4
"55",0,"low30.014",4
"56",1,"low30.014",4
"57",1,"low30.015",4
"58",1,"low30.015",4
"59",0,"low30.015",4
"60",0,"low30.015",4
"61",0,"low30.016",4
"62",1,"low30.016",4
"63",1,"low30.016",4
"64",0,"low30.016",4
"65",1,"low30.017",4
"66",0,"low30.017",4
"67",0,"low30.017",4
"68",1,"low30.017",4
"69",1,"low30.018",4
"70",0,"low30.018",4
"71",1,"low30.018",4
"72",0,"low30.018",4
"73",1,"low30.019",4
"74",0,"low30.019",4
"75",1,"low30.019",4
"76",0,"low30.019",4
"77",0,"low30.020",4
"78",1,"low30.020",4
"79",0,"low30.020",4
"80",1,"low30.020",4
"81",1,"low30.021",4
"82",0,"low30.021",4
"83",0,"low30.021",4
"84",1,"low30.021",4
"85",0,"low30.022",4
"86",1,"low30.022",4
"87",1,"low30.022",4
"88",0,"low30.022",4
"89",0,"low30.023",4
"90",1,"low30.023",4
"91",1,"low30.023",4
"92",0,"low30.023",4
"93",0,"low30.024",4
"94",0,"low30.024",4
"95",1,"low30.024",4
"96",1,"low30.024",4
"97",1,"low30.025",4
"98",1,"low30.025",4
"99",0,"low30.025",4
"100",0,"low30.025",4
"101",0,"low30.026",4
"102",1,"low30.026",4
"103",0,"low30.026",4
"104",1,"low30.026",4
"105",0,"low30.027",4
"106",0,"low30.027",4
"107",1,"low30.027",4
"108",1,"low30.027",4
"109",0,"low30.028",4
"110",0,"low30.028",4
"111",1,"low30.028",4
"112",1,"low30.028",4
"113",1,"low30.029",4
"114",1,"low30.029",4
"115",0,"low30.029",4
"116",0,"low30.029",4
"117",1,"low30.030",4
"118",1,"low30.030",4
"119",0,"low30.030",4
"120",0,"low30.030",4
"121",0,"low30.031",4
"122",1,"low30.031",4
"123",1,"low30.031",4
"124",0,"low30.031",4
"125",1,"low30.032",4
"126",0,"low30.032",4
"127",0,"low30.032",4
"128",1,"low30.032",4
"129",0,"low30.033",4
"130",0,"low30.033",4
"131",1,"low30.033",4
"132",1,"low30.033",4
"133",1,"low30.034",4
"134",1,"low30.034",4
"135",0,"low30.034",4
"136",0,"low30.034",4
"137",0,"low30.035",4
"138",0,"low30.035",4
"139",1,"low30.035",4
"140",1,"low30.035",4
"141",1,"low30.036",4
"142",0,"low30.036",4
"143",0,"low30.036",4
"144",1,"low30.036",4
"145",1,"low30.037",4
"146",1,"low30.037",4
"147",0,"low30.037",4
"148",0,"low30.037",4
"149",1,"low30.038",4
"150",1,"low30.038",4
"151",0,"low30.038",4
"152",0,"low30.038",4
"153",0,"low30.039",4
"154",0,"low30.039",4
"155",1,"low30.039",4
"156",1,"low30.039",4
"157",0,"low30.040",4
"158",1,"low30.040",4
"159",1,"low30.040",4
"160",0,"low30.040",4
"161",1,"low30.041",4
"162",0,"low30.041",4
"163",0,"low30.041",4
"164",1,"low30.041",4
"165",1,"low30.042",4
"166",1,"low30.042",4
"167",0,"low30.042",4
"168",0,"low30.042",4
"169",0,"low30.043",4
"170",1,"low30.043",4
"171",1,"low30.043",4
"172",0,"low30.043",4
"173",0,"low30.044",4
"174",0,"low30.044",4
"175",1,"low30.044",4
"176",1,"low30.044",4
"177",1,"low30.045",4
"178",0,"low30.045",4
"179",1,"low30.045",4
"180",0,"low30.045",4
"181",1,"low30.046",4
"182",0,"low30.046",4
"183",0,"low30.046",4
"184",1,"low30.046",4
"185",0,"low30.047",4
"186",1,"low30.047",4
"187",0,"low30.047",4
"188",1,"low30.047",4
"189",0,"low30.048",4
"190",0,"low30.048",4
"191",1,"low30.048",4
"192",1,"low30.048",4
"193",0,"low30.049",4
"194",1,"low30.049",4
"195",1,"low30.049",4
"196",0,"low30.049",4
"197",0,"low30.050",4
"198",1,"low30.050",4
"199",0,"low30.050",4
"200",1,"low30.050",4
"201",1,"low30.051",4
"202",1,"low30.051",4
"203",0,"low30.051",4
"204",0,"low30.051",4
"205",0,"low30.052",4
"206",1,"low30.052",4
"207",1,"low30.052",4
"208",0,"low30.052",4
"209",0,"low30.053",4
"210",1,"low30.053",4
"211",1,"low30.053",4
"212",0,"low30.053",4
"213",0,"low30.054",4
"214",1,"low30.054",4
"215",1,"low30.054",4
"216",0,"low30.054",4
"217",1,"low30.055",4
"218",0,"low30.055",4
"219",1,"low30.055",4
"220",0,"low30.055",4
"221",0,"low30.056",4
"222",1,"low30.056",4
"223",1,"low30.056",4
"224",0,"low30.056",4
"225",0,"low30.057",4
"226",1,"low30.057",4
"227",1,"low30.057",4
"228",0,"low30.057",4
"229",0,"low30.058",4
"230",0,"low30.058",4
"231",1,"low30.058",4
"232",1,"low30.058",4
"233",1,"low30.059",4
"234",0,"low30.059",4
"235",1,"low30.059",4
"236",0,"low30.059",4
"237",0,"low30.060",4
"238",1,"low30.060",4
"239",1,"low30.060",4
"240",0,"low30.060",4
"241",0,"low30.061",4
"242",0,"low30.061",4
"243",1,"low30.061",4
"244",1,"low30.061",4
"245",1,"low30.062",4
"246",0,"low30.062",4
"247",1,"low30.062",4
"248",0,"low30.062",4
"249",0,"low30.063",4
"250",1,"low30.063",4
"251",1,"low30.063",4
"252",0,"low30.063",4
"253",1,"low30.064",4
"254",1,"low30.064",4
"255",0,"low30.064",4
"256",0,"low30.064",4
"257",0,"low30.065",4
"258",1,"low30.065",4
"259",1,"low30.065",4
"260",0,"low30.065",4
"261",1,"low30.066",4
"262",0,"low30.066",4
"263",0,"low30.066",4
"264",1,"low30.066",4
"265",0,"low30.067",4
"266",1,"low30.067",4
"267",0,"low30.067",4
"268",1,"low30.067",4
"269",1,"low30.068",4
"270",0,"low30.068",4
"271",0,"low30.068",4
"272",1,"low30.068",4
"273",0,"low30.069",4
"274",0,"low30.069",4
"275",1,"low30.069",4
"276",1,"low30.069",4
"277",1,"low30.070",4
"278",0,"low30.070",4
"279",0,"low30.070",4
"280",1,"low30.070",4
"281",0,"low30.071",4
"282",1,"low30.071",4
"283",1,"low30.071",4
"284",0,"low30.071",4
"285",1,"low30.072",4
"286",0,"low30.072",4
"287",0,"low30.072",4
"288",1,"low30.072",4
"289",1,"low30.073",4
"290",0,"low30.073",4
"291",0,"low30.073",4
"292",1,"low30.073",4
"293",1,"low30.074",4
"294",1,"low30.074",4
"295",0,"low30.074",4
"296",0,"low30.074",4
"297",0,"low30.075",4
"298",0,"low30.075",4
"299",1,"low30.075",4
"300",1,"low30.075",4
"301",1,"low30.076",4
"302",0,"low30.076",4
"303",0,"low30.076",4
"304",1,"low30.076",4
"305",1,"low30.077",4
"306",1,"low30.077",4
"307",0,"low30.077",4
"308",0,"low30.077",4
"309",1,"low30.078",4
"310",0,"low30.078",4
"311",1,"low30.078",4
"312",0,"low30.078",4
"313",1,"low30.079",4
"314",0,"low30.079",4
"315",1,"low30.079",4
"316",0,"low30.079",4
"317",1,"low30.080",4
"318",0,"low30.080",4
"319",1,"low30.080",4
"320",0,"low30.080",4
"321",1,"low30.081",4
"322",0,"low30.081",4
"323",0,"low30.081",4
"324",1,"low30.081",4
"325",0,"low30.082",4
"326",1,"low30.082",4
"327",1,"low30.082",4
"328",0,"low30.082",4
"329",0,"low30.083",4
"330",0,"low30.083",4
"331",1,"low30.083",4
"332",1,"low30.083",4
"333",1,"low30.084",4
"334",1,"low30.084",4
"335",0,"low30.084",4
"336",0,"low30.084",4
"337",1,"low30.085",4
"338",0,"low30.085",4
"339",0,"low30.085",4
"340",1,"low30.085",4
"341",0,"low30.086",4
"342",1,"low30.086",4
"343",0,"low30.086",4
"344",1,"low30.086",4
"345",1,"low30.087",4
"346",1,"low30.087",4
"347",0,"low30.087",4
"348",0,"low30.087",4
"349",1,"low30.088",4
"350",0,"low30.088",4
"351",0,"low30.088",4
"352",1,"low30.088",4
"353",1,"low30.089",4
"354",1,"low30.089",4
"355",0,"low30.089",4
"356",0,"low30.089",4
"357",1,"low30.090",4
"358",0,"low30.090",4
"359",0,"low30.090",4
"360",1,"low30.090",4
"361",0,"low30.091",4
"362",1,"low30.091",4
"363",1,"low30.091",4
"364",0,"low30.091",4
"365",1,"low30.092",4
"366",0,"low30.092",4
"367",1,"low30.092",4
"368",0,"low30.092",4
"369",0,"low30.093",4
"370",1,"low30.093",4
"371",0,"low30.093",4
"372",1,"low30.093",4
"373",1,"low30.094",4
"374",1,"low30.094",4
"375",0,"low30.094",4
"376",0,"low30.094",4
"377",1,"low30.095",4
"378",1,"low30.095",4
"379",0,"low30.095",4
"380",0,"low30.095",4
"381",0,"low30.096",4
"382",1,"low30.096",4
"383",1,"low30.096",4
"384",0,"low30.096",4
"385",0,"low30.097",4
"386",1,"low30.097",4
"387",0,"low30.097",4
"388",1,"low30.097",4
"389",1,"low30.098",4
"390",0,"low30.098",4
"391",0,"low30.098",4
"392",1,"low30.098",4
"393",1,"low30.099",4
"394",0,"low30.099",4
"395",0,"low30.099",4
"396",1,"low30.099",4
"397",1,"low30.100",4
