"","treatment","block.id","block.size"
"1",0,"newcomer30.001",4
"2",1,"newcomer30.001",4
"3",0,"newcomer30.001",4
"4",1,"newcomer30.001",4
"5",1,"newcomer30.002",4
"6",1,"newcomer30.002",4
"7",0,"newcomer30.002",4
"8",0,"newcomer30.002",4
"9",0,"newcomer30.003",4
"10",1,"newcomer30.003",4
"11",1,"newcomer30.003",4
"12",0,"newcomer30.003",4
"13",0,"newcomer30.004",4
"14",1,"newcomer30.004",4
"15",1,"newcomer30.004",4
"16",0,"newcomer30.004",4
"17",1,"newcomer30.005",4
"18",0,"newcomer30.005",4
"19",1,"newcomer30.005",4
"20",0,"newcomer30.005",4
"21",1,"newcomer30.006",4
"22",1,"newcomer30.006",4
"23",0,"newcomer30.006",4
"24",0,"newcomer30.006",4
"25",1,"newcomer30.007",4
"26",1,"newcomer30.007",4
"27",0,"newcomer30.007",4
"28",0,"newcomer30.007",4
"29",1,"newcomer30.008",4
"30",0,"newcomer30.008",4
"31",0,"newcomer30.008",4
"32",1,"newcomer30.008",4
"33",0,"newcomer30.009",4
"34",0,"newcomer30.009",4
"35",1,"newcomer30.009",4
"36",1,"newcomer30.009",4
"37",1,"newcomer30.010",4
"38",0,"newcomer30.010",4
"39",0,"newcomer30.010",4
"40",1,"newcomer30.010",4
"41",0,"newcomer30.011",4
"42",0,"newcomer30.011",4
"43",1,"newcomer30.011",4
"44",1,"newcomer30.011",4
"45",1,"newcomer30.012",4
"46",0,"newcomer30.012",4
"47",1,"newcomer30.012",4
"48",0,"newcomer30.012",4
"49",0,"newcomer30.013",4
"50",1,"newcomer30.013",4
"51",1,"newcomer30.013",4
"52",0,"newcomer30.013",4
"53",1,"newcomer30.014",4
"54",1,"newcomer30.014",4
"55",0,"newcomer30.014",4
"56",0,"newcomer30.014",4
"57",1,"newcomer30.015",4
"58",1,"newcomer30.015",4
"59",0,"newcomer30.015",4
"60",0,"newcomer30.015",4
"61",0,"newcomer30.016",4
"62",1,"newcomer30.016",4
"63",1,"newcomer30.016",4
"64",0,"newcomer30.016",4
"65",0,"newcomer30.017",4
"66",1,"newcomer30.017",4
"67",0,"newcomer30.017",4
"68",1,"newcomer30.017",4
"69",0,"newcomer30.018",4
"70",1,"newcomer30.018",4
"71",1,"newcomer30.018",4
"72",0,"newcomer30.018",4
"73",1,"newcomer30.019",4
"74",1,"newcomer30.019",4
"75",0,"newcomer30.019",4
"76",0,"newcomer30.019",4
"77",1,"newcomer30.020",4
"78",0,"newcomer30.020",4
"79",1,"newcomer30.020",4
"80",0,"newcomer30.020",4
"81",0,"newcomer30.021",4
"82",1,"newcomer30.021",4
"83",1,"newcomer30.021",4
"84",0,"newcomer30.021",4
"85",0,"newcomer30.022",4
"86",1,"newcomer30.022",4
"87",1,"newcomer30.022",4
"88",0,"newcomer30.022",4
"89",1,"newcomer30.023",4
"90",0,"newcomer30.023",4
"91",0,"newcomer30.023",4
"92",1,"newcomer30.023",4
"93",1,"newcomer30.024",4
"94",0,"newcomer30.024",4
"95",1,"newcomer30.024",4
"96",0,"newcomer30.024",4
"97",0,"newcomer30.025",4
"98",1,"newcomer30.025",4
"99",1,"newcomer30.025",4
"100",0,"newcomer30.025",4
"101",0,"newcomer30.026",4
"102",0,"newcomer30.026",4
"103",1,"newcomer30.026",4
"104",1,"newcomer30.026",4
"105",0,"newcomer30.027",4
"106",1,"newcomer30.027",4
"107",1,"newcomer30.027",4
"108",0,"newcomer30.027",4
"109",1,"newcomer30.028",4
"110",1,"newcomer30.028",4
"111",0,"newcomer30.028",4
"112",0,"newcomer30.028",4
"113",0,"newcomer30.029",4
